criticID,googleID,stars,link,publisher,name
valtteriMörttinen,83,4.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/pattinson-ja-dafoe-saiden-armoilla-the-lighthouse-luo-kauhua-luonnon-ja-esineiden-avulla/,Kulttuuritoimitus.fi,Valtteri Mörttinen
akiLehti,83,5,https://muropaketti.com/elokuvat/arvostelu-the-witch-ohjaajan-mestarillinen-the-lighthouse-kauhusekoilu-todistaa-robert-twilight-pattinsonin-olevan-yksi-sukupolvensa-parhaista-nayttelijoista/,Muropaketti,Aki Lehti
sebastianGranskog,83,5,Vasabladet 15.11.2020,Vasabladet,Sebastian Granskog
martaBalaga,83,5,Episodi 1/2020,Episodi,Marta Balaga
jussiHuhtala,83,4,Episodi 1/2020,Episodi,Jussi Huhtala
nikoIkonen,83,5,Episodi 1/2020,Episodi,Niko Ikonen
hannuLiekso,83,4,Episodi 1/2020,Episodi,Hannu Liekso
jesseRaatikainen,83,4,Episodi 1/2020,Episodi,Jesse Raatikainen
vpLehtonen,84,3,Helsingin Sanomat 15.11.2019,Helsingin Sanomat,Veli-Pekka Lehtonen
päiviValotie,84,3,Turun Sanomat 15.11.2019,Turun Sanomat,Päivi Valotie
jussiHuhtala,84,4,https://www.episodi.fi/elokuvat/jumalan-armosta/,Episodi,Jussi Huhtala
martaBalaga,84,2,Episodi 1/2020,Episodi,Marta Balaga
nikoikonen,84,3,Episodi 1/2020,Episodi,Niko Ikonen
hannuLiekso,84,3,Episodi 1/2020,Episodi,Hannu Liekso
jesseRaatikainen,84,4,Episodi 1/2020,Episodi,Jesse Raatikainen
nikoIkonen,85,3,https://www.episodi.fi/elokuvat/someone-somewhere/,Episodi,Niko Ikonen
hwRehnstöm,85,4,Turun Sanomat 8.11.2019,Turun Sanomat,Henri Waltter Rehnström
leenaVirtanen,85,3,Helsingin Sanomat 8.11.2019,Helsingin Sanomat,Leena Virtanen
marttaKukonen,86,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/oletko-kyllastynyt-yrmyihin-jaariin-jotka-pahoittavat-mielensa,Me Naiset,Martta Kaukonen
nikoIkonen,86,3,https://www.episodi.fi/elokuvat/edie/,Episodi,Niko Ikonen
kariSalminen,86,3,Turun Sanomat 8.11.2019,Turun Sanomat,Kari Salminen
kaarinaLehtisalo,86,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/edie-on-elokuva-joka-muistuttaa-kaikkein-tarkeimmasta-elama-on-tarkoitettu-elettavaksi/,Kulttuuritoimitus.fi,Kaarina Lehtisalo
avola,86,3,Helsingin Sanomat 8.11.2019,Helsingin Sanomat,Pertti Avola
mariaLättilä,87,4,https://www.episodi.fi/elokuvat/kiitos-tilauksestasi/,Episodi,Maria Lättilä
kariSalminen,87,3,Turun Sanomat 8.11.2019,Turun Sanomat,Kari Salminen
jarnoLindemark,87,4,Etelä-Suomen Sanomat 8.11.2019,Etelä-Suomen Sanomat,Jarno Lindemark
anttiSelkokari,87,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/ken-loachin-elokuva-kiitos-tilauksestasi-kysyy-kuka-maksaa-sinun-puoli-ilmaisen-nettitilauksesi/,Kulttuuritoimitus.fi,Antti Selkokari
juhoTyppo,87,5,Helsingin Sanomat 8.11.2019,Helsingin Sanomat,Juho Typpö
avola,88,4,Helsingin Sanomat 8.11.2019,Helsingin Sanomat,Pertti Avola
